"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-361","H-102",31,NA,1,0.959199485279162,5.85317334933914
"H-362","H-103",31,NA,1,0.52085363133439,3.50969499850736
"H-363","H-104",31,NA,1,0.750145097854497,5.00815487307275
"H-364","H-108",31,NA,1,0.729859055288565,5.45641738921793
"H-365","H-109",31,NA,1,0.832951706408617,5.3640330667438
"H-366","H-11",31,NA,1,0.574341400119892,4.81609638573844
"H-367","H-110",31,NA,1,0.723473923945058,5.59860464787955
"H-368","H-111",31,NA,1,0.657043209993242,6.34745641604324
"H-369","H-112",31,NA,1,0.701016416485294,4.95219152114673
"H-37","H-4",20,NA,1,0.938546711106177,4.38277347748582
"H-370","H-117",31,NA,1,0.782186993918406,6.3557907694858
"H-371","H-12",31,NA,1,0.502460223841177,3.33955021214915
"H-372","H-120",31,NA,1,0.855379796532816,6.39924627928106
"H-373","H-121",31,NA,1,0.68297251389809,4.40022483784503
"H-374","H-122",31,NA,1,0.796500799749732,4.61825614523993
"H-375","H-123",31,NA,1,0.674123160134817,5.60198270649602
"H-376","H-125",31,NA,1,0.85433834299376,4.69378375452259
"H-377","H-128",31,NA,1,0.264239942226449,5.17341390178166
"H-378","H-129",31,NA,1,0.964026548866204,3.54554503098807
"H-379","H-133",31,NA,1,0.97006463496453,3.20989481151084
"H-38","H-6",20,NA,1,0.717859824803089,5.08635612243782
"H-380","H-134",31,NA,1,0.766651973578391,5.09716771084763
"H-381","H-136",31,NA,1,0.581427326416933,5.28636590755889
"H-382","H-137",31,NA,1,0.413082508491217,5.79634497734353
"H-383","H-138",31,NA,1,0.55943776251277,5.23848272814639
"H-384","H-14",31,NA,1,0.528899163634075,7.01779597231166
"H-385","H-140",31,NA,1,0.786701863955379,6.32971600779565
"H-386","H-142",31,NA,1,0.661547864218138,5.08934825965455
"H-387","H-145",31,NA,1,0.996680892951461,3.10947801840392
"H-388","H-15",31,NA,1,0.67585233389053,3.57414349764022
"H-389","H-162",31,34,0,0.720244850905402,5.80180929936291
"H-39","H-7",20,NA,1,0.682253598237073,3.88634730076719
"H-390","H-17",31,NA,1,0.803941652606865,3.82810975897583
"H-391","H-170",31,NA,1,0.75362993987165,5.1954925608349
"H-392","H-175",31,NA,1,0.619938554324456,3.81096067391651
"H-393","H-181",31,NA,1,0.513287751838421,4.86494708269125
"H-394","H-19",31,NA,1,0.734502324919632,5.23826995373812
"H-395","H-20",31,NA,1,0.342141621658554,6.34532360249594
"H-396","H-22",31,NA,1,0.947009794255345,3.87377085718695
"H-397","H-24",31,NA,1,0.872840266274774,4.74557416798362
"H-398","H-25",31,NA,1,0.839600508552277,4.74421322939226
